pass	compression	q	error	size
4	50	0.001	-0.000007465	5584
4	50	0.010	-0.000031199	5584
4	50	0.100	-0.000362160	5584
4	50	0.500	0.000125182	5584
4	100	0.001	-0.000001951	10432
4	100	0.010	0.000039129	10432
4	100	0.100	0.000060639	10432
4	100	0.500	0.000022995	10432
4	200	0.001	-0.000005135	19432
4	200	0.010	0.000005852	19432
4	200	0.100	-0.000007276	19432
4	200	0.500	0.000043032	19432
4	500	0.001	-0.000005135	42604
4	500	0.010	-0.000025248	42604
4	500	0.100	0.000057862	42604
4	500	0.500	0.000200263	42604
4	1000	0.001	-0.000005135	92392
4	1000	0.010	-0.000005322	92392
4	1000	0.100	0.000053721	92392
4	1000	0.500	-0.000005776	92392
5	2	0.001	-0.000184694	364
5	2	0.010	0.012465887	364
5	2	0.100	-0.004580535	364
5	2	0.500	0.000203756	364
5	5	0.001	-0.000052132	748
5	5	0.010	-0.000574857	748
5	5	0.100	-0.008021645	748
5	5	0.500	0.014455819	748
5	10	0.001	-0.000077112	1228
5	10	0.010	0.000089262	1228
5	10	0.100	-0.000539645	1228
5	10	0.500	-0.000291757	1228
5	20	0.001	-0.000029683	2236
5	20	0.010	-0.000060976	2236
5	20	0.100	-0.000462908	2236
5	20	0.500	-0.015991851	2236
5	50	0.001	-0.000032827	5572
5	50	0.010	0.000012663	5572
5	50	0.100	0.000957462	5572
5	50	0.500	0.007983688	5572
5	100	0.001	-0.000003895	10444
5	100	0.010	0.000079679	10444
5	100	0.100	-0.000028028	10444
5	100	0.500	-0.002289024	10444
5	200	0.001	-0.000012380	19288
5	200	0.010	0.000004921	19288
5	200	0.100	0.000048746	19288
5	200	0.500	0.000036642	19288
5	500	0.001	-0.000012380	42904
5	500	0.010	-0.000012216	42904
5	500	0.100	-0.000153795	42904
5	500	0.500	0.000244397	42904
5	1000	0.001	-0.000012380	92524
5	1000	0.010	0.000003784	92524
5	1000	0.100	-0.000005126	92524
5	1000	0.500	0.000013971	92524
6	2	0.001	0.000775726	412
6	2	0.010	0.002554773	412
6	2	0.100	0.061711789	412
6	2	0.500	-0.001704707	412
6	5	0.001	0.000145931	712
6	5	0.010	-0.000148802	712
6	5	0.100	-0.004156398	712
6	5	0.500	0.048440511	712
6	10	0.001	-0.000000271	1276
6	10	0.010	0.000039167	1276
6	10	0.100	0.002796356	1276
6	10	0.500	-0.014912093	1276
6	20	0.001	0.000003525	2392
6	20	0.010	-0.000034361	2392
6	20	0.100	-0.003465214	2392
6	20	0.500	0.001011544	2392
6	50	0.001	-0.000043949	5356
6	50	0.010	0.000220280	5356
6	50	0.100	-0.000986003	5356
6	50	0.500	0.003109699	5356
6	100	0.001	-0.000010612	10480
6	100	0.010	0.000175051	10480
6	100	0.100	-0.000000904	10480
6	100	0.500	-0.000038736	10480
6	200	0.001	0.000001852	19048
6	200	0.010	-0.000017190	19048
6	200	0.100	0.000055730	19048
6	200	0.500	-0.000131920	19048
6	500	0.001	0.000001852	43072
6	500	0.010	-0.000031668	43072
6	500	0.100	-0.000099502	43072
6	500	0.500	-0.000512483	43072
6	1000	0.001	0.000001852	92044
6	1000	0.010	0.000013108	92044
6	1000	0.100	-0.000048245	92044
6	1000	0.500	0.000020979	92044
7	2	0.001	-0.000095395	400
7	2	0.010	-0.000958222	400
7	2	0.100	-0.000805602	400
7	2	0.500	-0.021072427	400
7	5	0.001	0.000235766	688
7	5	0.010	0.001479017	688
7	5	0.100	-0.004957251	688
7	5	0.500	-0.001211590	688
7	10	0.001	-0.000019734	1264
7	10	0.010	0.000024981	1264
7	10	0.100	0.007499603	1264
7	10	0.500	0.004306531	1264
7	20	0.001	-0.000004268	2224
7	20	0.010	0.000443629	2224
7	20	0.100	0.004668464	2224
7	20	0.500	-0.003959157	2224
7	50	0.001	-0.000010896	5404
7	50	0.010	0.000269351	5404
7	50	0.100	0.000070913	5404
7	50	0.500	-0.000024097	5404
7	100	0.001	-0.000026418	9988
7	100	0.010	0.000051144	9988
7	100	0.100	0.000059395	9988
7	100	0.500	0.000157631	9988
7	200	0.001	-0.000024562	19360
7	200	0.010	-0.000025177	19360
7	200	0.100	-0.000009771	19360
7	200	0.500	0.000292616	19360
7	500	0.001	-0.000024562	42820
7	500	0.010	-0.000034362	42820
7	500	0.100	-0.000003278	42820
7	500	0.500	-0.000421913	42820
7	1000	0.001	-0.000024562	92284
7	1000	0.010	-0.000008515	92284
7	1000	0.100	-0.000003464	92284
7	1000	0.500	0.000009583	92284
8	2	0.001	-0.000184205	364
8	2	0.010	-0.000976668	364
8	2	0.100	0.025857378	364
8	2	0.500	-0.035792774	364
8	5	0.001	0.000372341	652
8	5	0.010	-0.000194715	652
8	5	0.100	-0.001063566	652
8	5	0.500	-0.008612192	652
8	10	0.001	-0.000048122	1336
8	10	0.010	-0.000051331	1336
8	10	0.100	0.005706058	1336
8	10	0.500	0.001904814	1336
8	20	0.001	0.000006332	2260
8	20	0.010	0.000371822	2260
8	20	0.100	0.001706903	2260
8	20	0.500	-0.014786008	2260
8	50	0.001	-0.000005222	5464
8	50	0.010	0.000039237	5464
8	50	0.100	-0.001043966	5464
8	50	0.500	0.005675542	5464
8	100	0.001	-0.000016653	10432
8	100	0.010	0.000001714	10432
8	100	0.100	0.000057742	10432
8	100	0.500	-0.000037335	10432
8	200	0.001	0.000008831	19324
8	200	0.010	-0.000027037	19324
8	200	0.100	0.000080582	19324
8	200	0.500	0.000180431	19324
8	500	0.001	0.000008831	43312
8	500	0.010	0.000013263	43312
8	500	0.100	0.000000975	43312
8	500	0.500	-0.000002470	43312
8	1000	0.001	0.000008831	92332
8	1000	0.010	-0.000001490	92332
8	1000	0.100	-0.000008419	92332
8	1000	0.500	0.000013652	92332
9	2	0.001	0.000000480	340
9	2	0.010	-0.000248354	340
9	2	0.100	-0.001944300	340
9	2	0.500	-0.003962103	340
9	5	0.001	0.000198386	724
9	5	0.010	-0.000950536	724
9	5	0.100	-0.001466132	724
9	5	0.500	0.015583513	724
9	10	0.001	0.000027030	1300
9	10	0.010	-0.000114971	1300
9	10	0.100	-0.002123151	1300
9	10	0.500	-0.009815681	1300
9	20	0.001	-0.000004731	2188
9	20	0.010	-0.000250898	2188
9	20	0.100	0.001370646	2188
9	20	0.500	0.000592767	2188
9	50	0.001	0.000024336	5764
9	50	0.010	-0.000120153	5764
9	50	0.100	0.000005020	5764
9	50	0.500	0.000038423	5764
9	100	0.001	-0.000009530	10432
9	100	0.010	-0.000080098	10432
9	100	0.100	0.000123806	10432
9	100	0.500	-0.001828315	10432
9	200	0.001	-0.000000667	19492
9	200	0.010	0.000007724	19492
9	200	0.100	-0.000030432	19492
9	200	0.500	0.000738377	19492
9	500	0.001	-0.000000667	43048
9	500	0.010	-0.000007900	43048
9	500	0.100	0.000015807	43048
9	500	0.500	-0.000382804	43048
9	1000	0.001	-0.000000667	92260
9	1000	0.010	-0.000003028	92260
9	1000	0.100	0.000013801	92260
9	1000	0.500	0.000018764	92260
10	2	0.001	0.000025760	352
10	2	0.010	0.003887592	352
10	2	0.100	-0.000572308	352
10	2	0.500	-0.021835117	352
10	5	0.001	-0.000014350	724
10	5	0.010	-0.000233599	724
10	5	0.100	-0.001401424	724
10	5	0.500	0.000551639	724
10	10	0.001	-0.000002296	1216
10	10	0.010	0.001112933	1216
10	10	0.100	-0.000118831	1216
10	10	0.500	0.016796575	1216
10	20	0.001	-0.000017706	2272
10	20	0.010	0.000376908	2272
10	20	0.100	-0.000234889	2272
10	20	0.500	-0.000490488	2272
10	50	0.001	-0.000003705	5464
10	50	0.010	0.000062581	5464
10	50	0.100	0.002895953	5464
10	50	0.500	-0.000032308	5464
10	100	0.001	-0.000009556	10072
10	100	0.010	-0.000014111	10072
10	100	0.100	-0.000151316	10072
10	100	0.500	0.000276314	10072
10	200	0.001	-0.000014448	19972
10	200	0.010	0.000043346	19972
10	200	0.100	-0.000081613	19972
10	200	0.500	0.000165455	19972
10	500	0.001	-0.000014448	42328
10	500	0.010	-0.000022329	42328
10	500	0.100	-0.000007892	42328
10	500	0.500	0.000612692	42328
10	1000	0.001	-0.000014448	92236
10	1000	0.010	0.000003912	92236
10	1000	0.100	-0.000007456	92236
10	1000	0.500	0.000023151	92236
11	2	0.001	0.000123213	340
11	2	0.010	-0.000591459	340
11	2	0.100	0.032633912	340
11	2	0.500	-0.056506613	340
11	5	0.001	-0.000067172	736
11	5	0.010	0.000620046	736
11	5	0.100	-0.003327959	736
11	5	0.500	-0.011653490	736
11	10	0.001	-0.000040910	1228
11	10	0.010	0.000013718	1228
11	10	0.100	0.007394970	1228
11	10	0.500	0.001294640	1228
11	20	0.001	-0.000005958	2236
11	20	0.010	-0.000465581	2236
11	20	0.100	-0.000811583	2236
11	20	0.500	0.014265456	2236
11	50	0.001	-0.000029441	5344
11	50	0.010	-0.000020306	5344
11	50	0.100	-0.000258477	5344
11	50	0.500	0.000463579	5344
11	100	0.001	-0.000042001	10516
