i	delta
425	-0.096140
426	-0.333642
427	-0.056128
428	0.138613
429	-0.045771
430	-0.075536
431	0.004590
432	-0.033929
433	-0.102242
434	0.162434
435	-0.009661
436	0.158973
437	-0.243082
438	0.145515
439	0.024014
440	-0.030550
441	0.115461
442	-0.111963
443	-0.065249
444	0.048711
445	0.113513
446	-0.001103
447	0.134252
448	0.089791
449	0.210481
450	-0.076728
451	-0.134506
452	-0.184666
453	0.182686
454	-0.257417
455	-0.027263
456	-0.251803
457	0.087964
458	0.144910
459	0.106419
460	-0.227131
461	0.117448
462	-0.080122
463	-0.036011
464	-0.085333
465	0.046716
466	-0.150941
467	0.154858
468	0.061772
469	0.059926
470	0.184798
471	-0.054616
472	-0.016991
473	-0.092713
474	-0.225158
475	-0.155861
476	-0.107769
477	-0.061258
478	-0.117132
479	0.192061
480	-0.062589
481	0.203314
482	0.041662
483	0.006859
484	0.159170
485	-0.026133
486	0.096364
487	0.149090
488	0.241897
489	0.021285
490	-0.175317
491	-0.079551
492	-0.038855
493	0.087672
494	0.188332
495	0.047917
496	0.087369
497	0.237376
498	0.063141
499	-0.176552
500	-0.043075
501	0.186423
502	0.296280
503	0.087185
504	-0.062222
505	0.116317
506	-0.204099
507	-0.191635
508	0.090114
509	-0.156336
510	0.043007
511	0.031902
512	-0.245180
513	-0.243887
514	0.196460
515	-0.137580
516	0.207093
517	-0.276534
518	-0.050130
519	0.018344
520	-0.107947
521	0.009272
522	0.220397
523	-0.050484
524	0.159984
525	-0.127612
526	0.104395
527	0.121022
528	0.231751
529	0.180352
530	-0.142408
531	-0.032003
532	-0.052927
533	-0.235540
534	0.133587
535	-0.136400
536	0.243655
537	0.171861
538	-0.054132
539	-0.147881
540	0.005969
541	0.139378
542	0.134482
543	0.103627
544	0.263395
545	-0.055811
546	0.120705
547	0.128343
548	-0.121350
549	-0.036950
550	-0.113978
551	0.210963
552	-0.240692
553	-0.050597
554	-0.234432
555	0.063896
556	0.076257
557	0.071099
558	-0.204218
559	-0.103427
560	0.026478
561	-0.117065
562	0.151607
563	0.119731
564	-0.160473
565	0.202273
566	-0.197119
567	-0.002242
568	-0.200649
569	0.157094
570	-0.259129
571	0.147934
572	-0.130525
573	-0.151155
574	-0.022532
575	0.025251
576	0.222267
577	0.239660
578	0.202497
579	0.129368
580	-0.131263
581	0.209501
582	0.104128
583	0.103377
584	-0.060390
585	-0.183705
586	-0.114179
587	-0.188405
588	0.045565
589	-0.144055
590	0.249656
591	0.129381
592	-0.103231
593	-0.140687
594	-0.144578
595	0.154367
596	0.144153
597	0.117325
598	-0.026461
599	-0.061382
600	-0.075638
601	0.137534
602	-0.034682
603	0.000287
604	-0.133817
605	0.100644
606	0.043355
607	-0.145362
608	-0.145156
609	-0.042538
610	-0.009540
611	0.195770
612	-0.048016
613	0.204663
614	0.107254
615	-0.196516
616	-0.211534
617	-0.140465
618	-0.075362
619	-0.107654
620	-0.170628
621	0.215670
622	0.127404
623	0.148365
624	-0.014725
625	0.212347
626	-0.132238
627	0.209831
628	-0.210419
629	0.165458
630	-0.185859
631	0.291712
632	0.062080
633	0.272271
634	-0.006533
635	0.302187
636	0.311556
637	0.214631
638	0.006623
639	-0.024100
640	0.195143
641	-0.183595
642	-0.213551
643	-0.138691
644	-0.044870
645	0.068251
646	-0.139299
647	-0.102854
648	0.035312
649	-0.116324
650	-0.201290
651	-0.163343
652	-0.165319
653	0.000044
654	0.007809
655	-0.077689
656	0.116328
657	0.113301
658	-0.148114
659	-0.158681
660	0.096030
661	0.140791
662	0.206505
663	-0.048094
664	0.065694
665	-0.040843
666	0.146198
667	0.074530
668	-0.020474
669	-0.166050
670	0.117833
671	0.082605
672	-0.207908
673	0.131331
674	-0.259543
675	-0.065205
676	-0.076101
677	-0.108650
678	0.157618
679	-0.282584
680	-0.158834
681	-0.131520
682	-0.143455
683	0.137168
684	-0.137323
685	-0.198118
686	-0.020352
687	0.080022
688	0.170930
689	0.050265
690	-0.088122
691	0.102533
692	0.175389
693	-0.189900
694	-0.152793
695	-0.133182
696	0.127047
697	-0.046595
698	-0.099912
699	0.068667
700	0.059663
701	0.068785
702	0.215620
703	0.072572
704	-0.022324
705	-0.583606
706	0.058249
707	0.174207
708	-0.013191
709	-0.117894
710	-0.238113
711	0.068772
712	-0.153183
713	-0.142851
714	-0.186947
715	0.119606
716	0.277991
717	-0.020336
718	0.036323
719	0.201404
720	-0.109834
721	-0.050355
722	-0.039418
723	0.147867
724	-0.006910
725	-0.023390
726	-0.037185
727	0.273731
728	0.006639
729	-0.179421
730	0.211190
731	-0.023520
732	-0.052380
733	0.062816
734	-0.046164
735	-0.193311
736	0.138211
737	0.056808
738	0.255628
739	0.076024
740	-0.050546
741	0.320835
742	0.198524
743	-0.087893
744	0.055699
745	-0.143449
746	0.061174
747	0.052862
748	0.283190
749	-0.168739
750	0.080706
751	0.269152
752	-0.238002
753	-0.029552
754	-0.069418
755	-0.150867
756	0.209071
757	0.211798
758	-0.107757
759	0.194927
760	-0.118140
761	-0.034121
762	-0.234245
763	0.047177
764	0.217300
765	-0.182995
766	0.200579
767	-0.185422
768	-0.254067
769	-0.166384
770	-0.186245
771	-0.252207
772	-0.182520
773	0.112110
774	0.037283
775	0.071997
776	-0.038773
777	0.165570
778	0.138108
779	-0.005791
780	-0.031876
781	0.027663
782	-0.041126
783	-0.174278
784	-0.008988
785	-0.181569
786	-0.016848
787	-0.054722
788	0.082741
789	-0.129760
790	-0.043319
791	-0.121031
792	-0.167645
793	-0.085823
794	0.108425
795	0.208145
796	0.127007
797	0.102774
798	0.100536
799	-0.050928
800	-0.042856
801	0.068239
802	-0.308391
803	-0.215513
804	-0.121289
805	-0.244079
806	0.028239
807	-0.146815
808	0.187641
809	-0.213739
810	-0.091639
811	0.039174
812	-0.185493
813	0.116025
814	0.012956
815	0.135601
816	0.082065
817	0.197529
818	0.134092
819	-0.181180
820	0.014978
821	-0.090603
822	-0.159863
823	-0.026571
824	-0.003285
825	0.256593
826	-0.078785
827	0.058093
828	0.287306
829	0.010261
830	0.100831
831	-0.066344
832	0.108283
833	0.034444
834	-0.054746
835	-0.115835
836	0.060235
837	-0.066919
838	-0.202891
839	0.287281
840	-0.107781
841	-0.060752
842	0.184899
843	0.217909
844	0.159678
845	0.239244
846	0.063606
847	-0.090593
848	0.099879
849	-0.065524
850	-0.033403
851	0.066108
852	-0.210253
853	0.132363
854	0.079577
855	0.096534
856	0.188483
857	-0.307618
858	0.202628
859	0.231565
860	0.174376
861	0.133382
862	-0.028290
863	0.088373
864	0.215888
865	-0.164366
866	-0.020843
867	0.197324
868	0.124102
869	0.006900
870	0.097841
871	-0.149672
872	0.041444
873	-0.279878
874	-0.238814
875	0.060040
876	-0.041871
877	0.087259
878	-0.000691
879	0.113981
880	-0.020363
881	-0.269519
882	-0.077623
883	0.025642
884	-0.057962
885	-0.114795
886	0.108270
887	0.205645
888	0.173204
889	-0.125113
890	0.038914
891	0.097982
892	-0.023895
893	0.064958
894	-0.108516
895	0.002588
896	-0.162015
897	-0.127730
898	-0.131138
899	-0.026229
900	-0.148392
901	-0.141019
902	-0.154106
903	0.167659
904	0.254180
905	0.020732
906	-0.124852
907	0.124110
908	-0.092590
909	0.190957
910	-0.180375
911	0.076565
912	0.151492
913	-0.126725
914	0.241937
915	-0.116440
916	-0.194547
917	-0.012740
918	-0.095719
919	-0.183827
920	-0.044560
921	-0.199545
922	-0.036575
923	-0.137378
924	-0.152411
925	0.127269
926	0.129105
927	0.118797
928	0.203012
929	-0.066069
930	-0.036108
931	0.233254
932	-0.185423
933	0.161398
934	0.153195
935	-0.174705
936	-0.221436
937	0.029817
938	0.229423
939	-0.166972
940	-0.114884
941	0.178368
942	-0.193478
943	0.033014
944	0.085111
945	-0.097630
946	0.000538
947	-0.120635
948	-0.160750
949	-0.120031
950	-0.152404
951	-0.192059
952	0.171378
953	0.099973
954	0.099971
955	-0.104420
956	0.202134
957	-0.127761
958	-0.021892
959	0.026943
960	-0.045727
961	-0.088249
962	-0.166011
963	-0.003994
964	-0.223709
965	-0.098486
966	0.188423
967	0.226371
968	0.065974
969	-0.035838
970	-0.103239
971	-0.001578
972	-0.126489
973	-0.017270
974	-0.195990
975	-0.126768
976	0.202924
977	-0.218357
978	0.094185
979	0.055650
980	-0.127480
981	0.007524
982	0.199440
983	0.064415
984	-0.223342
985	0.226539
986	-0.128198
987	-0.064497
988	0.262305
989	0.252497
990	0.075831
991	0.233395
992	-0.077749
993	0.027101
994	0.186999
995	-0.034109
996	0.143848
997	0.167603
998	0.011699
999	-0.025461
1000	-0.206542
1001	-0.085625
1002	-0.121497
1003	-0.100791
1004	-0.179837
1005	-0.245131
1006	-0.072285
1007	-0.129424
1008	0.200439
1009	0.263593
1010	0.264198
1011	-0.077859
1012	-0.112927
1013	-0.067234
1014	0.238318
1015	0.004740
1016	-0.026246
1017	-0.014434
1018	-0.040245
1019	0.135562
1020	0.104040
1021	-0.204438
1022	-0.024175
1023	0.168886
1024	-0.084623
1025	0.092035
1026	0.279433
1027	0.086254
1028	0.038337
