k	samples	compression	size1	size2
31	10000	20	2396	4908
31	10000	50	5290	10944
31	10000	100	9451	19992
31	10000	200	18358	39564
31	10000	500	40025	87384
31	10000	1000	74853	164712
32	10	2	186	384
32	10	5	332	720
32	10	10	589	1320
32	10	20	1083	2496
32	10	50	2120	5052
32	10	100	3756	8988
32	10	200	6746	16164
32	10	500	13646	32724
32	10	1000	22741	54552
32	100	2	207	420
32	100	5	425	900
32	100	10	728	1572
32	100	20	1445	3192
32	100	50	3141	7008
32	100	100	5778	13152
32	100	200	10163	23628
32	100	500	21327	51120
32	100	1000	38471	92304
32	1000	2	294	576
32	1000	5	655	1344
32	1000	10	1060	2208
32	1000	20	1829	3936
32	1000	50	4090	8940
32	1000	100	7432	16368
32	1000	200	13865	30744
32	1000	500	30913	69348
32	1000	1000	56579	128880
32	10000	2	324	612
32	10000	5	743	1488
32	10000	10	1217	2472
32	10000	20	2217	4524
32	10000	50	5272	10908
32	10000	100	9489	19956
32	10000	200	17896	38376
32	10000	500	40075	87672
32	10000	1000	74567	164208
33	10	2	162	336
33	10	5	365	804
33	10	10	672	1512
33	10	20	1019	2352
33	10	50	2084	4968
33	10	100	3981	9528
33	10	200	6791	16272
33	10	500	13921	33384
33	10	1000	22371	53664
33	100	2	216	444
33	100	5	462	996
33	100	10	837	1824
33	100	20	1375	3024
33	100	50	3135	7044
33	100	100	5604	12696
33	100	200	10209	23748
33	100	500	21752	52140
33	100	1000	38646	92724
33	1000	2	278	540
33	1000	5	648	1320
33	1000	10	1001	2088
33	1000	20	1747	3744
33	1000	50	4204	9132
33	1000	100	7454	16404
33	1000	200	13842	30708
33	1000	500	31402	70656
33	1000	1000	56234	127968
33	10000	2	360	696
33	10000	5	730	1464
33	10000	10	1108	2232
33	10000	20	2316	4728
33	10000	50	5283	11004
33	10000	100	9715	20460
33	10000	200	17574	37776
33	10000	500	39437	86328
33	10000	1000	75529	166284
34	10	2	181	372
34	10	5	333	732
34	10	10	602	1344
34	10	20	1104	2556
34	10	50	2182	5208
34	10	100	3856	9228
34	10	200	6866	16452
34	10	500	13756	32988
34	10	1000	22806	54708
34	100	2	266	552
34	100	5	500	1080
34	100	10	809	1752
34	100	20	1534	3372
34	100	50	3045	6816
34	100	100	5598	12744
34	100	200	10131	23592
34	100	500	21668	51936
34	100	1000	38481	92328
34	1000	2	294	564
34	1000	5	484	972
34	1000	10	997	2052
34	1000	20	1834	3912
34	1000	50	3934	8580
34	1000	100	7539	16596
34	1000	200	14079	31236
34	1000	500	31130	69936
34	1000	1000	56358	128340
34	10000	2	341	636
34	10000	5	710	1392
34	10000	10	1255	2508
34	10000	20	2312	4728
34	10000	50	5138	10680
34	10000	100	9830	20700
34	10000	200	17530	37680
34	10000	500	40550	88728
34	10000	1000	74709	164376
35	10	2	190	396
35	10	5	395	864
35	10	10	594	1332
35	10	20	1102	2544
35	10	50	2093	4992
35	10	100	3956	9468
35	10	200	6796	16284
35	10	500	13736	32940
35	10	1000	22551	54096
35	100	2	219	444
35	100	5	489	1068
35	100	10	745	1620
35	100	20	1417	3120
35	100	50	3263	7296
35	100	100	5641	12816
35	100	200	10193	23700
35	100	500	21629	51840
35	100	1000	38411	92160
35	1000	2	282	540
35	1000	5	593	1212
35	1000	10	1071	2244
35	1000	20	1899	4080
35	1000	50	3997	8712
35	1000	100	7521	16488
35	1000	200	14099	31284
35	1000	500	30833	69288
35	1000	1000	56601	128892
35	10000	2	348	672
35	10000	5	771	1548
35	10000	10	1154	2316
35	10000	20	2198	4476
35	10000	50	5217	10896
35	10000	100	9575	20184
35	10000	200	17749	38100
35	10000	500	39470	86376
35	10000	1000	74634	164400
36	10	2	197	408
36	10	5	393	864
36	10	10	530	1188
36	10	20	1087	2520
36	10	50	2147	5124
36	10	100	4001	9576
36	10	200	6751	16176
36	10	500	13866	33252
36	10	1000	22641	54312
36	100	2	228	468
36	100	5	503	1068
36	100	10	825	1800
36	100	20	1391	3072
36	100	50	3143	7092
36	100	100	5763	13116
36	100	200	10266	23916
36	100	500	21744	52128
36	100	1000	38501	92376
36	1000	2	314	612
36	1000	5	592	1212
36	1000	10	1017	2112
36	1000	20	1810	3852
36	1000	50	3966	8664
36	1000	100	7433	16368
36	1000	200	14051	31236
36	1000	500	30897	69348
36	1000	1000	56250	128076
36	10000	2	308	588
36	10000	5	675	1332
36	10000	10	1246	2520
36	10000	20	2203	4488
36	10000	50	5115	10572
36	10000	100	9571	20112
36	10000	200	17975	38652
36	10000	500	39647	86820
36	10000	1000	74980	165012
37	10	2	171	348
37	10	5	352	768
37	10	10	624	1404
37	10	20	1004	2316
37	10	50	2128	5076
37	10	100	3871	9264
37	10	200	6781	16248
37	10	500	13711	32880
37	10	1000	22666	54372
37	100	2	251	528
37	100	5	466	1008
37	100	10	789	1728
37	100	20	1355	2976
37	100	50	3155	7056
37	100	100	5680	12936
37	100	200	10183	23688
37	100	500	21378	51264
37	100	1000	38216	91692
37	1000	2	272	528
37	1000	5	669	1356
37	1000	10	1039	2160
37	1000	20	1900	4068
37	1000	50	4173	9120
37	1000	100	7589	16692
37	1000	200	14112	31200
37	1000	500	31020	69708
37	1000	1000	55958	127452
37	10000	2	324	612
37	10000	5	639	1272
37	10000	10	1195	2376
37	10000	20	2237	4536
37	10000	50	5137	10632
37	10000	100	9841	20712
37	10000	200	17609	37860
37	10000	500	40483	88428
37	10000	1000	74677	164424
38	10	2	185	384
38	10	5	297	636
38	10	10	615	1368
38	10	20	1007	2316
38	10	50	2151	5136
38	10	100	3876	9276
38	10	200	6801	16296
38	10	500	13956	33468
38	10	1000	22881	54888
38	100	2	249	516
38	100	5	445	948
38	100	10	757	1656
38	100	20	1530	3360
38	100	50	3171	7104
38	100	100	5513	12564
38	100	200	10270	23892
38	100	500	21885	52464
38	100	1000	38726	92916
38	1000	2	267	516
38	1000	5	538	1092
38	1000	10	985	2064
38	1000	20	1811	3864
38	1000	50	4118	8976
38	1000	100	7601	16692
38	1000	200	13905	30840
38	1000	500	31353	70452
38	1000	1000	56214	128004
38	10000	2	312	588
38	10000	5	794	1584
38	10000	10	1372	2748
38	10000	20	2200	4476
38	10000	50	5102	10548
38	10000	100	9484	19944
38	10000	200	17768	38232
38	10000	500	40150	87744
38	10000	1000	74822	164808
39	10	2	174	360
39	10	5	415	924
39	10	10	593	1320
39	10	20	1048	2400
39	10	50	2116	5052
39	10	100	3816	9132
39	10	200	6746	16164
39	10	500	13666	32772
39	10	1000	22496	53964
39	100	2	213	444
39	100	5	507	1080
39	100	10	721	1584
39	100	20	1443	3192
39	100	50	3087	6888
39	100	100	5644	12840
39	100	200	10269	23928
39	100	500	21799	52236
39	100	1000	38456	92268
39	1000	2	279	540
39	1000	5	557	1140
39	1000	10	1077	2220
39	1000	20	1786	3828
39	1000	50	3869	8484
39	1000	100	7449	16356
39	1000	200	14086	31188
39	1000	500	30599	68664
39	1000	1000	56965	129876
39	10000	2	322	612
39	10000	5	754	1476
39	10000	10	1215	2448
39	10000	20	2269	4668
39	10000	50	5293	10944
39	10000	100	9183	19344
39	10000	200	17910	38568
39	10000	500	39571	86616
39	10000	1000	74873	164952
