k	samples	compression	size1	size2
6	100	50	3083	6924
6	100	100	5617	12768
6	100	200	10133	23592
6	100	500	21724	52080
6	100	1000	38096	91404
6	1000	2	320	612
6	1000	5	652	1332
6	1000	10	1035	2148
6	1000	20	1881	4032
6	1000	50	4209	9168
6	1000	100	7628	16752
6	1000	200	13788	30648
6	1000	500	30842	69180
6	1000	1000	55497	126384
6	10000	2	369	696
6	10000	5	709	1392
6	10000	10	1240	2520
6	10000	20	2371	4836
6	10000	50	5389	11172
6	10000	100	9395	19740
6	10000	200	17542	37596
6	10000	500	40468	88620
6	10000	1000	74068	163164
7	10	2	159	324
7	10	5	387	852
7	10	10	580	1308
7	10	20	1016	2340
7	10	50	2199	5244
7	10	100	3996	9564
7	10	200	6806	16308
7	10	500	13926	33396
7	10	1000	22601	54216
7	100	2	223	456
7	100	5	475	1020
7	100	10	819	1776
7	100	20	1452	3168
7	100	50	3199	7176
7	100	100	5700	12948
7	100	200	10130	23568
7	100	500	21550	51624
7	100	1000	38556	92508
7	1000	2	319	624
7	1000	5	577	1200
7	1000	10	983	2076
7	1000	20	1933	4176
7	1000	50	4051	8808
7	1000	100	7635	16716
7	1000	200	14170	31356
7	1000	500	31144	69948
7	1000	1000	56766	129468
7	10000	2	334	624
7	10000	5	762	1500
7	10000	10	1152	2316
7	10000	20	2159	4428
7	10000	50	5245	10824
7	10000	100	9901	20832
7	10000	200	17567	37848
7	10000	500	40269	88008
7	10000	1000	75140	165552
8	10	2	169	348
8	10	5	390	864
8	10	10	572	1272
8	10	20	1060	2460
8	10	50	2198	5244
8	10	100	3751	8976
8	10	200	6651	15936
8	10	500	13826	33156
8	10	1000	22666	54372
8	100	2	202	408
8	100	5	428	912
8	100	10	781	1704
8	100	20	1498	3312
8	100	50	3079	6876
8	100	100	5850	13380
8	100	200	10097	23556
8	100	500	21640	51876
8	100	1000	38506	92388
8	1000	2	255	492
8	1000	5	615	1248
8	1000	10	1010	2076
8	1000	20	1822	3900
8	1000	50	4276	9312
8	1000	100	7464	16428
8	1000	200	13911	30804
8	1000	500	30761	69024
8	1000	1000	56259	128148
8	10000	2	323	612
8	10000	5	712	1428
8	10000	10	1303	2640
8	10000	20	2301	4704
8	10000	50	5397	11196
8	10000	100	9305	19560
8	10000	200	17793	38172
8	10000	500	39945	87420
8	10000	1000	75957	167340
9	10	2	157	324
9	10	5	378	828
9	10	10	588	1308
9	10	20	1068	2460
9	10	50	2299	5484
9	10	100	3976	9516
9	10	200	6671	15984
9	10	500	13896	33324
9	10	1000	23046	55284
9	100	2	267	552
9	100	5	434	936
9	100	10	805	1752
9	100	20	1495	3312
9	100	50	3116	6984
9	100	100	5850	13296
9	100	200	10023	23316
9	100	500	21470	51456
9	100	1000	37911	90960
9	1000	2	287	564
9	1000	5	600	1236
9	1000	10	979	2040
9	1000	20	1795	3864
9	1000	50	3903	8496
9	1000	100	7634	16764
9	1000	200	13948	30948
9	1000	500	30981	69588
9	1000	1000	56470	128604
9	10000	2	345	660
9	10000	5	673	1320
9	10000	10	1308	2628
9	10000	20	2219	4536
9	10000	50	5286	10920
9	10000	100	9698	20424
9	10000	200	17796	38256
9	10000	500	40124	87756
9	10000	1000	74512	164160
10	10	2	194	408
10	10	5	377	828
10	10	10	682	1548
10	10	20	950	2172
10	10	50	2256	5388
10	10	100	3766	9012
10	10	200	6876	16476
10	10	500	14031	33648
10	10	1000	22846	54804
10	100	2	216	444
10	100	5	483	1044
10	100	10	794	1728
10	100	20	1338	2940
10	100	50	3059	6828
10	100	100	5808	13212
10	100	200	10203	23784
10	100	500	21672	51936
10	100	1000	38486	92340
10	1000	2	254	492
10	1000	5	563	1140
10	1000	10	930	1920
10	1000	20	1785	3816
10	1000	50	4090	8952
10	1000	100	7471	16392
10	1000	200	13954	30888
10	1000	500	31333	70452
10	1000	1000	56776	129168
10	10000	2	338	648
10	10000	5	729	1452
10	10000	10	1274	2556
10	10000	20	2166	4416
10	10000	50	5266	10908
10	10000	100	9656	20256
10	10000	200	17746	38004
10	10000	500	40457	88536
10	10000	1000	74504	163932
11	10	2	179	372
11	10	5	395	864
11	10	10	618	1380
11	10	20	1066	2472
11	10	50	2177	5196
11	10	100	3921	9384
11	10	200	6891	16512
11	10	500	13616	32652
11	10	1000	22766	54612
11	100	2	266	552
11	100	5	488	1056
11	100	10	796	1740
11	100	20	1475	3240
11	100	50	3191	7176
11	100	100	5487	12480
11	100	200	10342	24072
11	100	500	21432	51372
11	100	1000	38536	92460
11	1000	2	297	576
11	1000	5	641	1308
11	1000	10	973	2028
11	1000	20	1882	4020
11	1000	50	3974	8676
11	1000	100	7616	16704
11	1000	200	13859	30720
11	1000	500	30914	69396
11	1000	1000	56451	128604
11	10000	2	381	744
11	10000	5	691	1380
11	10000	10	1256	2544
11	10000	20	2154	4404
11	10000	50	5176	10728
11	10000	100	9900	20856
11	10000	200	17830	38316
11	10000	500	40252	87972
11	10000	1000	74218	163368
12	10	2	175	360
12	10	5	359	780
12	10	10	603	1344
12	10	20	912	2076
12	10	50	2136	5100
12	10	100	3846	9204
12	10	200	6656	15948
12	10	500	13726	32916
12	10	1000	22681	54408
12	100	2	228	468
12	100	5	436	924
12	100	10	798	1716
12	100	20	1404	3096
12	100	50	3193	7116
12	100	100	5653	12828
12	100	200	10289	23952
12	100	500	21308	51084
12	100	1000	38566	92532
12	1000	2	289	564
12	1000	5	589	1212
12	1000	10	978	2040
12	1000	20	1851	3972
12	1000	50	4313	9420
12	1000	100	7461	16464
12	1000	200	13845	30636
12	1000	500	30803	69168
12	1000	1000	56542	128640
12	10000	2	415	804
12	10000	5	714	1416
12	10000	10	1242	2472
12	10000	20	2260	4608
12	10000	50	5140	10632
12	10000	100	9461	19872
12	10000	200	17856	38376
12	10000	500	39920	87288
12	10000	1000	73673	162216
13	10	2	173	360
13	10	5	322	696
13	10	10	621	1380
13	10	20	1063	2448
13	10	50	2241	5352
13	10	100	3896	9324
13	10	200	6976	16716
13	10	500	13931	33408
13	10	1000	22726	54516
13	100	2	246	504
13	100	5	497	1068
13	100	10	880	1908
13	100	20	1460	3216
13	100	50	3125	6996
13	100	100	5550	12612
13	100	200	10147	23652
13	100	500	21456	51420
13	100	1000	38656	92748
13	1000	2	251	480
13	1000	5	565	1164
13	1000	10	933	1920
13	1000	20	1878	3984
13	1000	50	4075	8868
13	1000	100	7627	16764
13	1000	200	13656	30336
13	1000	500	30853	69432
13	1000	1000	55819	127176
13	10000	2	321	600
13	10000	5	670	1320
13	10000	10	1260	2544
13	10000	20	2225	4524
13	10000	50	5088	10584
13	10000	100	9375	19776
13	10000	200	17754	38196
13	10000	500	40553	88776
13	10000	1000	75006	165132
14	10	2	160	324
14	10	5	316	684
14	10	10	594	1344
14	10	20	1022	2352
14	10	50	2159	5148
14	10	100	3761	9000
14	10	200	6781	16248
14	10	500	13956	33468
14	10	1000	22656	54348
14	100	2	207	420
14	100	5	486	1044
14	100	10	785	1704
14	100	20	1466	3264
14	100	50	3194	7212
14	100	100	5845	13320
14	100	200	10342	24096
14	100	500	21990	52728
14	100	1000	38476	92316
14	1000	2	294	588
14	1000	5	601	1236
14	1000	10	972	2016
14	1000	20	1738	3720
14	1000	50	4337	9480
14	1000	100	7487	16392
14	1000	200	13823	30612
14	1000	500	30907	69348
14	1000	1000	56368	128460
14	10000	2	343	648
14	10000	5	691	1368
14	10000	10	1275	2544
14	10000	20	2391	4848
14	10000	50	5160	10716
14	10000	100	9576	20184
14	10000	200	17501	37668
14	10000	500	40598	88824
14	10000	1000	74071	162924
15	10	2	160	324
15	10	5	372	816
15	10	10	523	1164
15	10	20	1038	2388
15	10	50	2088	4980
15	10	100	3971	9504
15	10	200	6926	16596
15	10	500	13816	33132
15	10	1000	22706	54468
15	100	2	221	456
15	100	5	455	984
15	100	10	836	1836
15	100	20	1409	3108
15	100	50	3087	6924
15	100	100	5759	13104
15	100	200	10106	23520
15	100	500	21519	51600
15	100	1000	38441	92232
15	1000	2	272	540
15	1000	5	615	1260
15	1000	10	1019	2136
15	1000	20	1792	3828
15	1000	50	4193	9144
15	1000	100	7745	17040
15	1000	200	13712	30468
15	1000	500	30931	69420
15	1000	1000	55974	127428
15	10000	2	348	672
15	10000	5	735	1476
15	10000	10	1170	2388
15	10000	20	2342	4800
15	10000	50	4921	10164
15	10000	100	9650	20316
15	10000	200	17484	37512
15	10000	500	40124	87852
15	10000	1000	74166	163152
16	10	2	159	324
16	10	5	351	768
16	10	10	604	1344
16	10	20	1088	2520
16	10	50	2193	5232
16	10	100	3876	9276
16	10	200	6711	16080
16	10	500	13841	33192
16	10	1000	22661	54360
16	100	2	228	468
16	100	5	500	1068
16	100	10	743	1620
16	100	20	1391	3048
16	100	50	3138	7008
16	100	100	5773	13176
16	100	200	10034	23328
16	100	500	21654	51888
16	100	1000	38401	92136
16	1000	2	294	576
16	1000	5	598	1224
16	1000	10	1111	2328
16	1000	20	1852	3948
16	1000	50	4093	8952
16	1000	100	7400	16260
16	1000	200	13735	30336
16	1000	500	31226	70224
16	1000	1000	56301	128124
16	10000	2	320	612
16	10000	5	693	1392
16	10000	10	1173	2376
16	10000	20	2405	4908
16	10000	50	5219	10776
16	10000	100	9525	20064
16	10000	200	17777	38112
16	10000	500	39811	87132
16	10000	1000	75099	165468
17	10	2	170	348
17	10	5	335	732
17	10	10	636	1428
17	10	20	1093	2532
17	10	50	2246	5364
17	10	100	3786	9060
17	10	200	6581	15768
17	10	500	13736	32940
17	10	1000	22786	54660
17	100	2	259	528
17	100	5	485	1056
17	100	10	763	1656
17	100	20	1469	3240
17	100	50	3239	7272
17	100	100	5467	12432
17	100	200	10202	23760
17	100	500	21588	51768
17	100	1000	38571	92544
17	1000	2	296	576
17	1000	5	613	1260
17	1000	10	1003	2100
17	1000	20	1797	3864
17	1000	50	4059	8832
17	1000	100	7647	16764
17	1000	200	13858	30696
17	1000	500	31139	70020
17	1000	1000	56781	129480
17	10000	2	303	576
17	10000	5	766	1500
