k	samples	compression	size1	size2
31	1000	1000	55685	126748
31	10000	2	364	700
31	10000	5	762	1528
31	10000	10	1171	2380
31	10000	20	2396	4912
31	10000	50	5290	10948
31	10000	100	9451	19996
31	10000	200	18358	39568
31	10000	500	40025	87388
31	10000	1000	74853	164716
32	10	2	186	388
32	10	5	332	724
32	10	10	589	1324
32	10	20	1083	2500
32	10	50	2120	5056
32	10	100	3756	8992
32	10	200	6746	16168
32	10	500	13646	32728
32	10	1000	22741	54556
32	100	2	207	424
32	100	5	425	904
32	100	10	728	1576
32	100	20	1445	3196
32	100	50	3141	7012
32	100	100	5778	13156
32	100	200	10163	23632
32	100	500	21327	51124
32	100	1000	38471	92308
32	1000	2	294	580
32	1000	5	655	1348
32	1000	10	1060	2212
32	1000	20	1829	3940
32	1000	50	4090	8944
32	1000	100	7432	16372
32	1000	200	13865	30748
32	1000	500	30913	69352
32	1000	1000	56579	128884
32	10000	2	324	616
32	10000	5	743	1492
32	10000	10	1217	2476
32	10000	20	2217	4528
32	10000	50	5272	10912
32	10000	100	9489	19960
32	10000	200	17896	38380
32	10000	500	40075	87676
32	10000	1000	74567	164212
33	10	2	162	340
33	10	5	365	808
33	10	10	672	1516
33	10	20	1019	2356
33	10	50	2084	4972
33	10	100	3981	9532
33	10	200	6791	16276
33	10	500	13921	33388
33	10	1000	22371	53668
33	100	2	216	448
33	100	5	462	1000
33	100	10	837	1828
33	100	20	1375	3028
33	100	50	3135	7048
33	100	100	5604	12700
33	100	200	10209	23752
33	100	500	21752	52144
33	100	1000	38646	92728
33	1000	2	278	544
33	1000	5	648	1324
33	1000	10	1001	2092
33	1000	20	1747	3748
33	1000	50	4204	9136
33	1000	100	7454	16408
33	1000	200	13842	30712
33	1000	500	31402	70660
33	1000	1000	56234	127972
33	10000	2	360	700
33	10000	5	730	1468
33	10000	10	1108	2236
33	10000	20	2316	4732
33	10000	50	5283	11008
33	10000	100	9715	20464
33	10000	200	17574	37780
33	10000	500	39437	86332
33	10000	1000	75529	166288
34	10	2	181	376
34	10	5	333	736
34	10	10	602	1348
34	10	20	1104	2560
34	10	50	2182	5212
34	10	100	3856	9232
34	10	200	6866	16456
34	10	500	13756	32992
34	10	1000	22806	54712
34	100	2	266	556
34	100	5	500	1084
34	100	10	809	1756
34	100	20	1534	3376
34	100	50	3045	6820
34	100	100	5598	12748
34	100	200	10131	23596
34	100	500	21668	51940
34	100	1000	38481	92332
34	1000	2	294	568
34	1000	5	484	976
34	1000	10	997	2056
34	1000	20	1834	3916
34	1000	50	3934	8584
34	1000	100	7539	16600
34	1000	200	14079	31240
34	1000	500	31130	69940
34	1000	1000	56358	128344
34	10000	2	341	640
34	10000	5	710	1396
34	10000	10	1255	2512
34	10000	20	2312	4732
34	10000	50	5138	10684
34	10000	100	9830	20704
34	10000	200	17530	37684
34	10000	500	40550	88732
34	10000	1000	74709	164380
35	10	2	190	400
35	10	5	395	868
35	10	10	594	1336
35	10	20	1102	2548
35	10	50	2093	4996
35	10	100	3956	9472
35	10	200	6796	16288
35	10	500	13736	32944
35	10	1000	22551	54100
35	100	2	219	448
35	100	5	489	1072
35	100	10	745	1624
35	100	20	1417	3124
35	100	50	3263	7300
35	100	100	5641	12820
35	100	200	10193	23704
35	100	500	21629	51844
35	100	1000	38411	92164
35	1000	2	282	544
35	1000	5	593	1216
35	1000	10	1071	2248
35	1000	20	1899	4084
35	1000	50	3997	8716
35	1000	100	7521	16492
35	1000	200	14099	31288
35	1000	500	30833	69292
35	1000	1000	56601	128896
35	10000	2	348	676
35	10000	5	771	1552
35	10000	10	1154	2320
35	10000	20	2198	4480
35	10000	50	5217	10900
35	10000	100	9575	20188
35	10000	200	17749	38104
35	10000	500	39470	86380
35	10000	1000	74634	164404
36	10	2	197	412
36	10	5	393	868
36	10	10	530	1192
36	10	20	1087	2524
36	10	50	2147	5128
36	10	100	4001	9580
36	10	200	6751	16180
36	10	500	13866	33256
36	10	1000	22641	54316
36	100	2	228	472
36	100	5	503	1072
36	100	10	825	1804
36	100	20	1391	3076
36	100	50	3143	7096
36	100	100	5763	13120
36	100	200	10266	23920
36	100	500	21744	52132
36	100	1000	38501	92380
36	1000	2	314	616
36	1000	5	592	1216
36	1000	10	1017	2116
36	1000	20	1810	3856
36	1000	50	3966	8668
36	1000	100	7433	16372
36	1000	200	14051	31240
36	1000	500	30897	69352
36	1000	1000	56250	128080
36	10000	2	308	592
36	10000	5	675	1336
36	10000	10	1246	2524
36	10000	20	2203	4492
36	10000	50	5115	10576
36	10000	100	9571	20116
36	10000	200	17975	38656
36	10000	500	39647	86824
36	10000	1000	74980	165016
37	10	2	171	352
37	10	5	352	772
37	10	10	624	1408
37	10	20	1004	2320
37	10	50	2128	5080
37	10	100	3871	9268
37	10	200	6781	16252
37	10	500	13711	32884
37	10	1000	22666	54376
37	100	2	251	532
37	100	5	466	1012
37	100	10	789	1732
37	100	20	1355	2980
37	100	50	3155	7060
37	100	100	5680	12940
37	100	200	10183	23692
37	100	500	21378	51268
37	100	1000	38216	91696
37	1000	2	272	532
37	1000	5	669	1360
37	1000	10	1039	2164
37	1000	20	1900	4072
37	1000	50	4173	9124
37	1000	100	7589	16696
37	1000	200	14112	31204
37	1000	500	31020	69712
37	1000	1000	55958	127456
37	10000	2	324	616
37	10000	5	639	1276
37	10000	10	1195	2380
37	10000	20	2237	4540
37	10000	50	5137	10636
37	10000	100	9841	20716
37	10000	200	17609	37864
37	10000	500	40483	88432
37	10000	1000	74677	164428
38	10	2	185	388
38	10	5	297	640
38	10	10	615	1372
38	10	20	1007	2320
38	10	50	2151	5140
38	10	100	3876	9280
38	10	200	6801	16300
38	10	500	13956	33472
38	10	1000	22881	54892
38	100	2	249	520
38	100	5	445	952
38	100	10	757	1660
38	100	20	1530	3364
38	100	50	3171	7108
38	100	100	5513	12568
38	100	200	10270	23896
38	100	500	21885	52468
38	100	1000	38726	92920
38	1000	2	267	520
38	1000	5	538	1096
38	1000	10	985	2068
38	1000	20	1811	3868
38	1000	50	4118	8980
38	1000	100	7601	16696
38	1000	200	13905	30844
38	1000	500	31353	70456
38	1000	1000	56214	128008
38	10000	2	312	592
38	10000	5	794	1588
38	10000	10	1372	2752
38	10000	20	2200	4480
38	10000	50	5102	10552
38	10000	100	9484	19948
38	10000	200	17768	38236
38	10000	500	40150	87748
38	10000	1000	74822	164812
39	10	2	174	364
39	10	5	415	928
39	10	10	593	1324
39	10	20	1048	2404
39	10	50	2116	5056
39	10	100	3816	9136
39	10	200	6746	16168
39	10	500	13666	32776
39	10	1000	22496	53968
39	100	2	213	448
39	100	5	507	1084
39	100	10	721	1588
39	100	20	1443	3196
39	100	50	3087	6892
39	100	100	5644	12844
39	100	200	10269	23932
39	100	500	21799	52240
39	100	1000	38456	92272
39	1000	2	279	544
39	1000	5	557	1144
39	1000	10	1077	2224
39	1000	20	1786	3832
39	1000	50	3869	8488
39	1000	100	7449	16360
39	1000	200	14086	31192
39	1000	500	30599	68668
39	1000	1000	56965	129880
39	10000	2	322	616
39	10000	5	754	1480
39	10000	10	1215	2452
39	10000	20	2269	4672
39	10000	50	5293	10948
39	10000	100	9183	19348
39	10000	200	17910	38572
39	10000	500	39571	86620
39	10000	1000	74873	164956
