k	samples	compression	size1	size2
6	100	50	3083	6928
6	100	100	5617	12772
6	100	200	10133	23596
6	100	500	21724	52084
6	100	1000	38096	91408
6	1000	2	320	616
6	1000	5	652	1336
6	1000	10	1035	2152
6	1000	20	1881	4036
6	1000	50	4209	9172
6	1000	100	7628	16756
6	1000	200	13788	30652
6	1000	500	30842	69184
6	1000	1000	55497	126388
6	10000	2	369	700
6	10000	5	709	1396
6	10000	10	1240	2524
6	10000	20	2371	4840
6	10000	50	5389	11176
6	10000	100	9395	19744
6	10000	200	17542	37600
6	10000	500	40468	88624
6	10000	1000	74068	163168
7	10	2	159	328
7	10	5	387	856
7	10	10	580	1312
7	10	20	1016	2344
7	10	50	2199	5248
7	10	100	3996	9568
7	10	200	6806	16312
7	10	500	13926	33400
7	10	1000	22601	54220
7	100	2	223	460
7	100	5	475	1024
7	100	10	819	1780
7	100	20	1452	3172
7	100	50	3199	7180
7	100	100	5700	12952
7	100	200	10130	23572
7	100	500	21550	51628
7	100	1000	38556	92512
7	1000	2	319	628
7	1000	5	577	1204
7	1000	10	983	2080
7	1000	20	1933	4180
7	1000	50	4051	8812
7	1000	100	7635	16720
7	1000	200	14170	31360
7	1000	500	31144	69952
7	1000	1000	56766	129472
7	10000	2	334	628
7	10000	5	762	1504
7	10000	10	1152	2320
7	10000	20	2159	4432
7	10000	50	5245	10828
7	10000	100	9901	20836
7	10000	200	17567	37852
7	10000	500	40269	88012
7	10000	1000	75140	165556
8	10	2	169	352
8	10	5	390	868
8	10	10	572	1276
8	10	20	1060	2464
8	10	50	2198	5248
8	10	100	3751	8980
8	10	200	6651	15940
8	10	500	13826	33160
8	10	1000	22666	54376
8	100	2	202	412
8	100	5	428	916
8	100	10	781	1708
8	100	20	1498	3316
8	100	50	3079	6880
8	100	100	5850	13384
8	100	200	10097	23560
8	100	500	21640	51880
8	100	1000	38506	92392
8	1000	2	255	496
8	1000	5	615	1252
8	1000	10	1010	2080
8	1000	20	1822	3904
8	1000	50	4276	9316
8	1000	100	7464	16432
8	1000	200	13911	30808
8	1000	500	30761	69028
8	1000	1000	56259	128152
8	10000	2	323	616
8	10000	5	712	1432
8	10000	10	1303	2644
8	10000	20	2301	4708
8	10000	50	5397	11200
8	10000	100	9305	19564
8	10000	200	17793	38176
8	10000	500	39945	87424
8	10000	1000	75957	167344
9	10	2	157	328
9	10	5	378	832
9	10	10	588	1312
9	10	20	1068	2464
9	10	50	2299	5488
9	10	100	3976	9520
9	10	200	6671	15988
9	10	500	13896	33328
9	10	1000	23046	55288
9	100	2	267	556
9	100	5	434	940
9	100	10	805	1756
9	100	20	1495	3316
9	100	50	3116	6988
9	100	100	5850	13300
9	100	200	10023	23320
9	100	500	21470	51460
9	100	1000	37911	90964
9	1000	2	287	568
9	1000	5	600	1240
9	1000	10	979	2044
9	1000	20	1795	3868
9	1000	50	3903	8500
9	1000	100	7634	16768
9	1000	200	13948	30952
9	1000	500	30981	69592
9	1000	1000	56470	128608
9	10000	2	345	664
9	10000	5	673	1324
9	10000	10	1308	2632
9	10000	20	2219	4540
9	10000	50	5286	10924
9	10000	100	9698	20428
9	10000	200	17796	38260
9	10000	500	40124	87760
9	10000	1000	74512	164164
10	10	2	194	412
10	10	5	377	832
10	10	10	682	1552
10	10	20	950	2176
10	10	50	2256	5392
10	10	100	3766	9016
10	10	200	6876	16480
10	10	500	14031	33652
10	10	1000	22846	54808
10	100	2	216	448
10	100	5	483	1048
10	100	10	794	1732
10	100	20	1338	2944
10	100	50	3059	6832
10	100	100	5808	13216
10	100	200	10203	23788
10	100	500	21672	51940
10	100	1000	38486	92344
10	1000	2	254	496
10	1000	5	563	1144
10	1000	10	930	1924
10	1000	20	1785	3820
10	1000	50	4090	8956
10	1000	100	7471	16396
10	1000	200	13954	30892
10	1000	500	31333	70456
10	1000	1000	56776	129172
10	10000	2	338	652
10	10000	5	729	1456
10	10000	10	1274	2560
10	10000	20	2166	4420
10	10000	50	5266	10912
10	10000	100	9656	20260
10	10000	200	17746	38008
10	10000	500	40457	88540
10	10000	1000	74504	163936
11	10	2	179	376
11	10	5	395	868
11	10	10	618	1384
11	10	20	1066	2476
11	10	50	2177	5200
11	10	100	3921	9388
11	10	200	6891	16516
11	10	500	13616	32656
11	10	1000	22766	54616
11	100	2	266	556
11	100	5	488	1060
11	100	10	796	1744
11	100	20	1475	3244
11	100	50	3191	7180
11	100	100	5487	12484
11	100	200	10342	24076
11	100	500	21432	51376
11	100	1000	38536	92464
11	1000	2	297	580
11	1000	5	641	1312
11	1000	10	973	2032
11	1000	20	1882	4024
11	1000	50	3974	8680
11	1000	100	7616	16708
11	1000	200	13859	30724
11	1000	500	30914	69400
11	1000	1000	56451	128608
11	10000	2	381	748
11	10000	5	691	1384
11	10000	10	1256	2548
11	10000	20	2154	4408
11	10000	50	5176	10732
11	10000	100	9900	20860
11	10000	200	17830	38320
11	10000	500	40252	87976
11	10000	1000	74218	163372
12	10	2	175	364
12	10	5	359	784
12	10	10	603	1348
12	10	20	912	2080
12	10	50	2136	5104
12	10	100	3846	9208
12	10	200	6656	15952
12	10	500	13726	32920
12	10	1000	22681	54412
12	100	2	228	472
12	100	5	436	928
12	100	10	798	1720
12	100	20	1404	3100
12	100	50	3193	7120
12	100	100	5653	12832
12	100	200	10289	23956
12	100	500	21308	51088
12	100	1000	38566	92536
12	1000	2	289	568
12	1000	5	589	1216
12	1000	10	978	2044
12	1000	20	1851	3976
12	1000	50	4313	9424
12	1000	100	7461	16468
12	1000	200	13845	30640
12	1000	500	30803	69172
12	1000	1000	56542	128644
12	10000	2	415	808
12	10000	5	714	1420
12	10000	10	1242	2476
12	10000	20	2260	4612
12	10000	50	5140	10636
12	10000	100	9461	19876
12	10000	200	17856	38380
12	10000	500	39920	87292
12	10000	1000	73673	162220
13	10	2	173	364
13	10	5	322	700
13	10	10	621	1384
13	10	20	1063	2452
13	10	50	2241	5356
13	10	100	3896	9328
13	10	200	6976	16720
13	10	500	13931	33412
13	10	1000	22726	54520
13	100	2	246	508
13	100	5	497	1072
13	100	10	880	1912
13	100	20	1460	3220
13	100	50	3125	7000
13	100	100	5550	12616
13	100	200	10147	23656
13	100	500	21456	51424
13	100	1000	38656	92752
13	1000	2	251	484
13	1000	5	565	1168
13	1000	10	933	1924
13	1000	20	1878	3988
13	1000	50	4075	8872
13	1000	100	7627	16768
13	1000	200	13656	30340
13	1000	500	30853	69436
13	1000	1000	55819	127180
13	10000	2	321	604
13	10000	5	670	1324
13	10000	10	1260	2548
13	10000	20	2225	4528
13	10000	50	5088	10588
13	10000	100	9375	19780
13	10000	200	17754	38200
13	10000	500	40553	88780
13	10000	1000	75006	165136
14	10	2	160	328
14	10	5	316	688
14	10	10	594	1348
14	10	20	1022	2356
14	10	50	2159	5152
14	10	100	3761	9004
14	10	200	6781	16252
14	10	500	13956	33472
14	10	1000	22656	54352
14	100	2	207	424
14	100	5	486	1048
14	100	10	785	1708
14	100	20	1466	3268
14	100	50	3194	7216
14	100	100	5845	13324
14	100	200	10342	24100
14	100	500	21990	52732
14	100	1000	38476	92320
14	1000	2	294	592
14	1000	5	601	1240
14	1000	10	972	2020
14	1000	20	1738	3724
14	1000	50	4337	9484
14	1000	100	7487	16396
14	1000	200	13823	30616
14	1000	500	30907	69352
14	1000	1000	56368	128464
14	10000	2	343	652
14	10000	5	691	1372
14	10000	10	1275	2548
14	10000	20	2391	4852
14	10000	50	5160	10720
14	10000	100	9576	20188
14	10000	200	17501	37672
14	10000	500	40598	88828
14	10000	1000	74071	162928
15	10	2	160	328
15	10	5	372	820
15	10	10	523	1168
15	10	20	1038	2392
15	10	50	2088	4984
15	10	100	3971	9508
15	10	200	6926	16600
15	10	500	13816	33136
15	10	1000	22706	54472
15	100	2	221	460
15	100	5	455	988
15	100	10	836	1840
15	100	20	1409	3112
15	100	50	3087	6928
15	100	100	5759	13108
