pass	compression	q	error	size
4	50	0.001	-0.000016213	5404
4	50	0.010	-0.000030370	5404
4	50	0.100	0.000797683	5404
4	50	0.500	0.001924475	5404
4	100	0.001	0.000004627	10108
4	100	0.010	-0.000020313	10108
4	100	0.100	-0.000032072	10108
4	100	0.500	0.000142365	10108
4	200	0.001	-0.000005135	18988
4	200	0.010	0.000032962	18988
4	200	0.100	-0.000607825	18988
4	200	0.500	-0.001176358	18988
4	500	0.001	-0.000005135	42784
4	500	0.010	-0.000005042	42784
4	500	0.100	-0.000183706	42784
4	500	0.500	0.000116898	42784
4	1000	0.001	-0.000005135	92512
4	1000	0.010	-0.000005865	92512
4	1000	0.100	-0.000063641	92512
4	1000	0.500	-0.000013967	92512
5	2	0.001	0.000266679	412
5	2	0.010	-0.000716633	412
5	2	0.100	0.100229178	412
5	2	0.500	-0.004479124	412
5	5	0.001	0.000010117	808
5	5	0.010	-0.000116119	808
5	5	0.100	-0.007864885	808
5	5	0.500	-0.002504806	808
5	10	0.001	-0.000039003	1240
5	10	0.010	-0.000090826	1240
5	10	0.100	-0.000274083	1240
5	10	0.500	0.039996748	1240
5	20	0.001	-0.000109365	2224
5	20	0.010	-0.000153755	2224
5	20	0.100	0.003609996	2224
5	20	0.500	-0.006960635	2224
5	50	0.001	-0.000006068	5608
5	50	0.010	0.000113147	5608
5	50	0.100	-0.000148631	5608
5	50	0.500	0.001227367	5608
5	100	0.001	-0.000007534	10516
5	100	0.010	-0.000039434	10516
5	100	0.100	-0.000180498	10516
5	100	0.500	-0.000009831	10516
5	200	0.001	-0.000012380	19036
5	200	0.010	-0.000067644	19036
5	200	0.100	-0.000011346	19036
5	200	0.500	0.000001469	19036
5	500	0.001	-0.000012380	42820
5	500	0.010	-0.000003011	42820
5	500	0.100	-0.000126486	42820
5	500	0.500	0.000196968	42820
5	1000	0.001	-0.000012380	92284
5	1000	0.010	0.000003178	92284
5	1000	0.100	0.000076090	92284
5	1000	0.500	-0.000130745	92284
6	2	0.001	0.000163777	388
6	2	0.010	-0.000410251	388
6	2	0.100	0.043611963	388
6	2	0.500	0.066669551	388
6	5	0.001	-0.000109045	784
6	5	0.010	-0.000131037	784
6	5	0.100	0.000386327	784
6	5	0.500	-0.015434304	784
6	10	0.001	0.000002413	1240
6	10	0.010	0.000107366	1240
6	10	0.100	-0.000768336	1240
6	10	0.500	0.009332847	1240
6	20	0.001	0.000002951	2356
6	20	0.010	-0.000055236	2356
6	20	0.100	-0.004773146	2356
6	20	0.500	0.008614256	2356
6	50	0.001	0.000001301	5476
6	50	0.010	0.000352053	5476
6	50	0.100	0.000073446	5476
6	50	0.500	-0.001171371	5476
6	100	0.001	-0.000010128	10612
6	100	0.010	-0.000030374	10612
6	100	0.100	-0.000248746	10612
6	100	0.500	0.000053010	10612
6	200	0.001	0.000001852	19036
6	200	0.010	0.000012079	19036
6	200	0.100	-0.000190595	19036
6	200	0.500	-0.001131469	19036
6	500	0.001	0.000001852	42916
6	500	0.010	0.000002714	42916
6	500	0.100	0.000012726	42916
6	500	0.500	-0.000018220	42916
6	1000	0.001	0.000001852	91024
6	1000	0.010	0.000007525	91024
6	1000	0.100	-0.000032480	91024
6	1000	0.500	0.000067999	91024
7	2	0.001	-0.000020519	352
7	2	0.010	-0.000426004	352
7	2	0.100	0.082602887	352
7	2	0.500	-0.007522747	352
7	5	0.001	0.000220744	748
7	5	0.010	0.002273441	748
7	5	0.100	-0.002459422	748
7	5	0.500	-0.003625037	748
7	10	0.001	0.000112569	1336
7	10	0.010	0.000270281	1336
7	10	0.100	0.000435158	1336
7	10	0.500	-0.009136485	1336
7	20	0.001	-0.000036464	2356
7	20	0.010	-0.000553435	2356
7	20	0.100	-0.002621716	2356
7	20	0.500	0.000175550	2356
7	50	0.001	-0.000045851	5380
7	50	0.010	-0.000023620	5380
7	50	0.100	0.000185235	5380
7	50	0.500	0.000110444	5380
7	100	0.001	-0.000013511	9964
7	100	0.010	-0.000002692	9964
7	100	0.100	-0.000084840	9964
7	100	0.500	-0.000323023	9964
7	200	0.001	-0.000024562	19024
7	200	0.010	0.000015632	19024
7	200	0.100	-0.000015213	19024
7	200	0.500	0.000035408	19024
7	500	0.001	-0.000024562	42700
7	500	0.010	-0.000026807	42700
7	500	0.100	-0.000207585	42700
7	500	0.500	-0.000460039	42700
7	1000	0.001	-0.000024562	92824
7	1000	0.010	-0.000011932	92824
7	1000	0.100	-0.000017718	92824
7	1000	0.500	-0.000001108	92824
8	2	0.001	0.000975166	352
8	2	0.010	-0.001245483	352
8	2	0.100	0.046263735	352
8	2	0.500	-0.008107237	352
8	5	0.001	-0.000099632	760
8	5	0.010	0.002627767	760
8	5	0.100	0.008865419	760
8	5	0.500	-0.040128740	760
8	10	0.001	0.000186359	1264
8	10	0.010	-0.000019992	1264
8	10	0.100	0.002094707	1264
8	10	0.500	-0.012498183	1264
8	20	0.001	-0.000079143	2248
8	20	0.010	-0.000015827	2248
8	20	0.100	-0.000227482	2248
8	20	0.500	0.001161328	2248
8	50	0.001	-0.000019436	5632
8	50	0.010	-0.000002236	5632
8	50	0.100	-0.000007076	5632
8	50	0.500	0.000259907	5632
8	100	0.001	-0.000013817	10660
8	100	0.010	-0.000013908	10660
8	100	0.100	-0.000084131	10660
8	100	0.500	-0.000757547	10660
8	200	0.001	0.000008831	19324
8	200	0.010	-0.000032467	19324
8	200	0.100	-0.000021161	19324
8	200	0.500	-0.000145165	19324
8	500	0.001	0.000008831	43084
8	500	0.010	0.000006001	43084
8	500	0.100	0.000014296	43084
8	500	0.500	-0.000129270	43084
8	1000	0.001	0.000008831	91648
8	1000	0.010	0.000005039	91648
8	1000	0.100	-0.000069437	91648
8	1000	0.500	-0.000003175	91648
9	2	0.001	-0.000010118	328
9	2	0.010	-0.000103787	328
9	2	0.100	-0.004863127	328
9	2	0.500	0.058001481	328
9	5	0.001	-0.000024751	796
9	5	0.010	0.001801079	796
9	5	0.100	-0.000756640	796
9	5	0.500	-0.004065553	796
9	10	0.001	-0.000004173	1216
9	10	0.010	-0.000137263	1216
9	10	0.100	-0.000189427	1216
9	10	0.500	-0.000003784	1216
9	20	0.001	0.000013660	2368
9	20	0.010	-0.000090858	2368
9	20	0.100	0.000535428	2368
9	20	0.500	-0.011049680	2368
9	50	0.001	-0.000008013	5464
9	50	0.010	0.000017674	5464
9	50	0.100	-0.000410768	5464
9	50	0.500	0.000369964	5464
9	100	0.001	0.000001495	10516
9	100	0.010	0.000011669	10516
9	100	0.100	-0.000003981	10516
9	100	0.500	0.000419020	10516
9	200	0.001	-0.000000667	19276
9	200	0.010	-0.000000603	19276
9	200	0.100	0.000067631	19276
9	200	0.500	0.000045327	19276
