pass	compression	q	error	size
22	10	0.001	0.000040950	1288
22	10	0.010	0.000515213	1288
22	10	0.100	0.000633027	1288
22	10	0.500	-0.004807046	1288
22	20	0.001	-0.000039621	2260
22	20	0.010	-0.000080464	2260
22	20	0.100	0.000044734	2260
22	20	0.500	-0.000528485	2260
22	50	0.001	-0.000007300	5248
22	50	0.010	0.000002346	5248
22	50	0.100	-0.000126444	5248
22	50	0.500	0.003411349	5248
22	100	0.001	-0.000006112	10528
22	100	0.010	-0.000050950	10528
22	100	0.100	0.000543902	10528
22	100	0.500	0.000221683	10528
22	200	0.001	0.000001032	19396
22	200	0.010	-0.000075972	19396
22	200	0.100	0.000098943	19396
22	200	0.500	-0.000396647	19396
22	500	0.001	0.000001032	43384
22	500	0.010	0.000006121	43384
22	500	0.100	-0.000000359	43384
22	500	0.500	0.000342916	43384
22	1000	0.001	0.000001032	91720
22	1000	0.010	-0.000002225	91720
22	1000	0.100	0.000003394	91720
22	1000	0.500	-0.000107012	91720
23	2	0.001	0.000741221	388
23	2	0.010	0.000220455	388
23	2	0.100	-0.008753455	388
23	2	0.500	-0.079466232	388
23	5	0.001	0.000210678	688
23	5	0.010	0.002339518	688
23	5	0.100	0.003283511	688
23	5	0.500	0.009331607	688
23	10	0.001	-0.000019547	1288
23	10	0.010	0.000703205	1288
23	10	0.100	-0.000375556	1288
23	10	0.500	-0.006513876	1288
23	20	0.001	0.000103714	2332
23	20	0.010	0.000491476	2332
23	20	0.100	0.004411745	2332
23	20	0.500	0.007219341	2332
23	50	0.001	0.000002745	5308
23	50	0.010	0.000012313	5308
23	50	0.100	-0.000428067	5308
23	50	0.500	0.004358724	5308
23	100	0.001	-0.000018995	10408
23	100	0.010	0.000180552	10408
23	100	0.100	-0.000706053	10408
23	100	0.500	0.003866319	10408
23	200	0.001	0.000006676	19144
23	200	0.010	-0.000046354	19144
23	200	0.100	0.000483852	19144
23	200	0.500	-0.000223937	19144
23	500	0.001	0.000006676	42352
23	500	0.010	0.000000270	42352
23	500	0.100	0.000113303	42352
23	500	0.500	-0.000077444	42352
23	1000	0.001	0.000006676	91708
23	1000	0.010	-0.000006304	91708
23	1000	0.100	-0.000003794	91708
23	1000	0.500	0.000128757	91708
24	2	0.001	0.001075674	340
24	2	0.010	-0.000948586	340
24	2	0.100	-0.004541844	340
24	2	0.500	-0.038332596	340
24	5	0.001	0.000048885	640
24	5	0.010	0.000056737	640
24	5	0.100	-0.001186652	640
24	5	0.500	0.038293025	640
24	10	0.001	0.000141164	1168
24	10	0.010	-0.000079879	1168
24	10	0.100	0.001021919	1168
24	10	0.500	-0.000902672	1168
24	20	0.001	0.000054118	2344
24	20	0.010	0.000095960	2344
24	20	0.100	-0.002471884	2344
24	20	0.500	-0.003566097	2344
24	50	0.001	0.000012091	5308
24	50	0.010	0.000459721	5308
24	50	0.100	-0.001659212	5308
24	50	0.500	-0.001802082	5308
24	100	0.001	0.000002996	10480
24	100	0.010	-0.000010112	10480
24	100	0.100	0.001306094	10480
24	100	0.500	-0.000395238	10480
24	200	0.001	-0.000001688	19528
24	200	0.010	-0.000007398	19528
24	200	0.100	0.000015050	19528
24	200	0.500	-0.000005862	19528
24	500	0.001	-0.000001688	42832
24	500	0.010	-0.000016158	42832
24	500	0.100	-0.000007973	42832
24	500	0.500	-0.000196204	42832
