compression	q	error	size
200	0.100	0.000332972	18636
200	0.500	-0.000434540	18636
500	0.001	-0.000004030	43212
500	0.010	0.000001830	43212
500	0.100	-0.000001017	43212
500	0.500	-0.000053826	43212
1000	0.001	-0.000004030	92196
1000	0.010	0.000006406	92196
1000	0.100	0.000002655	92196
1000	0.500	0.000059216	92196
